STATISTIC Label,Month,Consumer Item,UNIT,VALUE
National Average Price,2012 March,Spaghetti per 500g,Euro,1.196
National Average Price,2012 March,Sirloin steak per kg,Euro,14.936
National Average Price,2012 March,Striploin steak per kg,Euro,21.495
National Average Price,2012 March,Roast beef - topside or rib per kg,Euro,11.615
National Average Price,2012 March,Sliced / diced beef pieces per kg,Euro,9.897
National Average Price,2012 March,Pork loin chops per kg,Euro,8.448
National Average Price,2012 March,Pork steak per kg,Euro,9.038
National Average Price,2012 March,Lamb - whole leg / half leg per kg,Euro,11.859
National Average Price,2012 March,Lamb loin chops per kg,Euro,18.146
National Average Price,2012 March,Lamb gigot chops per kg,Euro,13
National Average Price,2012 March,Uncooked chicken medium size 1.6kg,Euro,5.702
National Average Price,2012 March,Lamb's liver per kg,Euro,5.671
National Average Price,2012 March,Ham fillet per kg,Euro,6.101
National Average Price,2012 March,Cooked ham per kg,Euro,15.698
National Average Price,2012 March,Best back rashers per kg,Euro,10.613
National Average Price,2012 March,Pork sausages per kg,Euro,5.383
National Average Price,2012 March,Fresh fillet of whiting per kg,Euro,10.848
National Average Price,2012 March,Fresh fillet of cod per kg,Euro,15.395
National Average Price,2012 March,Fresh salmon per kg,Euro,15.01
National Average Price,2012 March,Fresh fillet of plaice per kg,Euro,18.102
National Average Price,2012 March,Fresh hake per kg,Euro,
National Average Price,2012 March,Smoked salmon per kg,Euro,25.922
National Average Price,2012 March,Full fat milk per 2 litre,Euro,1.774
National Average Price,2012 March,Low fat milk per 1 litre,Euro,1.052
National Average Price,2012 March,Irish cheddar per kg,Euro,11.026
National Average Price,2012 March,Large eggs per half dozen,Euro,1.776
National Average Price,2012 March,Medium eggs per half dozen,Euro,1.485
National Average Price,2012 March,Butter per lb,Euro,2.769
National Average Price,2012 March,Grapes per kg,Euro,6.145
National Average Price,2012 March,Bananas per kg,Euro,1.371
National Average Price,2012 March,Tomatoes per kg,Euro,2.881
National Average Price,2012 March,Onions per kg,Euro,1.147
National Average Price,2012 March,Broccoli per kg,Euro,3.049
National Average Price,2012 March,Carrots per kg,Euro,1.176
National Average Price,2012 March,Mushrooms per kg,Euro,4.284
National Average Price,2012 March,Tomatoes tinned per 400g,Euro,0.839
National Average Price,2012 March,Potatoes 2.5 kg,Euro,3.013
National Average Price,2012 March,Potatoes 7.5 kg,Euro,
National Average Price,2012 March,Potatoes 10 kg,Euro,4.862
National Average Price,2012 March,White granulated sugar per 1 kg,Euro,1.341
National Average Price,2012 March,Jam per lb,Euro,1.953
National Average Price,2012 March,Marmalade per lb,Euro,1.838
National Average Price,2012 March,Tea bags per 80,Euro,2.949
National Average Price,2012 March,Orange juice per litre,Euro,1.518
National Average Price,2012 March,Whiskey - take home (70cl bottle),Euro,21.189
National Average Price,2012 March,Brandy - take home (70cl bottle),Euro,24.189
National Average Price,2012 March,Vodka - take home (70cl bottle),Euro,17.27
National Average Price,2012 March,Cream liqueur - take home (70cl bottle),Euro,13.34
National Average Price,2012 March,Wine - take home (75cl bottle),Euro,9.104
National Average Price,2012 March,Cider - take home (50cl can),Euro,2.1
National Average Price,2012 March,Sherry - take home (75cl bottle),Euro,10.742
National Average Price,2012 March,Lager - take home (50cl can),Euro,1.779
National Average Price,2012 March,Stout - take home (50cl can),Euro,2.065
National Average Price,2012 March,Filtered cigarettes per 20 pk,Euro,9.027
National Average Price,2012 March,Stout - draught bar (1 pint),Euro,3.984
National Average Price,2012 March,Lager - draught bar (1 pint),Euro,4.323
National Average Price,2012 March,Lager - bar (33cl bottle),Euro,4.371
National Average Price,2012 March,Cider - draught bar (1 pint),Euro,4.486
National Average Price,2012 March,Ale - draught bar (1 pint),Euro,4.028
National Average Price,2012 March,Cider - bar (33cl bottle),Euro,4.492
National Average Price,2012 March,Flavoured alcoholic drink - bar (275ml bottle),Euro,5.155
National Average Price,2012 March,Whiskey - bar (single) per ½ glass,Euro,3.728
National Average Price,2012 March,Brandy - bar (single) per ½ glass,Euro,4.302
National Average Price,2012 March,Vodka - bar (single) per ½ glass,Euro,3.786
National Average Price,2012 March,Wine - bar (187ml bottle),Euro,4.903
National Average Price,2012 March,Diesel per litre,Euro,1.582
National Average Price,2012 March,Petrol - unleaded per litre,Euro,1.629
National Average Price,2012 March,Cinema fee,Euro,8.963
National Average Price,2012 March,Nightclubs fee,Euro,9.892
National Average Price,2012 March,Gent's dry cut fee,Euro,11.945
National Average Price,2012 March,"Gent's wash, cut, and blow dry fee",Euro,17.792
National Average Price,2012 March,"Ladies' wash, cut and blow dry fee",Euro,36.009
National Average Price,2012 April,"White, self raising flour per 2 kg",Euro,2.132
National Average Price,2012 April,"Brown, wholemeal flour per 2 kg",Euro,2.504
National Average Price,2012 April,"Bread, white sliced pan, large (800g)",Euro,1.291
National Average Price,2012 April,"Bread, brown sliced pan, large (800g)",Euro,1.529
National Average Price,2012 April,Spaghetti per 500g,Euro,1.17
National Average Price,2012 April,Sirloin steak per kg,Euro,15.338
National Average Price,2012 April,Striploin steak per kg,Euro,22.242
National Average Price,2012 April,Roast beef - topside or rib per kg,Euro,11.865
National Average Price,2012 April,Sliced / diced beef pieces per kg,Euro,10.004
National Average Price,2012 April,Pork loin chops per kg,Euro,8.526
National Average Price,2012 April,Pork steak per kg,Euro,9.382
National Average Price,2012 April,Lamb - whole leg / half leg per kg,Euro,12.558
National Average Price,2012 April,Lamb loin chops per kg,Euro,19.526
National Average Price,2012 April,Lamb gigot chops per kg,Euro,13.218
National Average Price,2012 April,Uncooked chicken medium size 1.6kg,Euro,5.772
National Average Price,2012 April,Lamb's liver per kg,Euro,5.669
National Average Price,2012 April,Ham fillet per kg,Euro,6.063
National Average Price,2012 April,Cooked ham per kg,Euro,16.248
National Average Price,2012 April,Best back rashers per kg,Euro,10.968
National Average Price,2012 April,Pork sausages per kg,Euro,5.577
National Average Price,2012 April,Fresh fillet of whiting per kg,Euro,10.844
National Average Price,2012 April,Fresh fillet of cod per kg,Euro,14.951
National Average Price,2012 April,Fresh salmon per kg,Euro,14.575
National Average Price,2012 April,Fresh fillet of plaice per kg,Euro,18.436
National Average Price,2012 April,Fresh hake per kg,Euro,
National Average Price,2012 April,Smoked salmon per kg,Euro,25.997
National Average Price,2012 April,Full fat milk per 2 litre,Euro,1.771
National Average Price,2012 April,Low fat milk per 1 litre,Euro,1.053
National Average Price,2012 April,Irish cheddar per kg,Euro,11.146
National Average Price,2012 April,Large eggs per half dozen,Euro,1.853
National Average Price,2012 April,Medium eggs per half dozen,Euro,1.648
National Average Price,2012 April,Butter per lb,Euro,2.768
National Average Price,2012 April,Grapes per kg,Euro,5.934
National Average Price,2012 April,Bananas per kg,Euro,1.362
National Average Price,2012 April,Tomatoes per kg,Euro,2.914
National Average Price,2012 April,Onions per kg,Euro,1.172
National Average Price,2012 April,Broccoli per kg,Euro,3.079
National Average Price,2012 April,Carrots per kg,Euro,1.128
National Average Price,2012 April,Mushrooms per kg,Euro,4.428
National Average Price,2012 April,Tomatoes tinned per 400g,Euro,0.846
National Average Price,2012 April,Potatoes 2.5 kg,Euro,2.953
National Average Price,2012 April,Potatoes 7.5 kg,Euro,
National Average Price,2012 April,Potatoes 10 kg,Euro,5.088
National Average Price,2012 April,White granulated sugar per 1 kg,Euro,1.343
National Average Price,2012 April,Jam per lb,Euro,1.95
National Average Price,2012 April,Marmalade per lb,Euro,1.843
National Average Price,2012 April,Tea bags per 80,Euro,2.908
National Average Price,2012 April,Orange juice per litre,Euro,1.458
National Average Price,2012 April,Whiskey - take home (70cl bottle),Euro,21.315
National Average Price,2012 April,Brandy - take home (70cl bottle),Euro,24.713
National Average Price,2012 April,Vodka - take home (70cl bottle),Euro,16.976
National Average Price,2012 April,Cream liqueur - take home (70cl bottle),Euro,14.236
National Average Price,2012 April,Wine - take home (75cl bottle),Euro,8.764
National Average Price,2012 April,Cider - take home (50cl can),Euro,2.11
National Average Price,2012 April,Sherry - take home (75cl bottle),Euro,11.316
National Average Price,2012 April,Lager - take home (50cl can),Euro,1.781
National Average Price,2012 April,Stout - take home (50cl can),Euro,2.062
National Average Price,2012 April,Filtered cigarettes per 20 pk,Euro,9.026
National Average Price,2012 April,Stout - draught bar (1 pint),Euro,3.982
National Average Price,2012 April,Lager - draught bar (1 pint),Euro,4.325
National Average Price,2012 April,Lager - bar (33cl bottle),Euro,4.368
National Average Price,2012 April,Cider - draught bar (1 pint),Euro,4.479
National Average Price,2012 April,Ale - draught bar (1 pint),Euro,4.026
National Average Price,2012 April,Cider - bar (33cl bottle),Euro,4.493
National Average Price,2012 April,Flavoured alcoholic drink - bar (275ml bottle),Euro,5.153
National Average Price,2012 April,Whiskey - bar (single) per ½ glass,Euro,3.732
National Average Price,2012 April,Brandy - bar (single) per ½ glass,Euro,4.3
National Average Price,2012 April,Vodka - bar (single) per ½ glass,Euro,3.785
National Average Price,2012 April,Wine - bar (187ml bottle),Euro,4.88
National Average Price,2012 April,Diesel per litre,Euro,1.6
National Average Price,2012 April,Petrol - unleaded per litre,Euro,1.686
National Average Price,2012 April,Cinema fee,Euro,8.979
National Average Price,2012 April,Nightclubs fee,Euro,9.767
National Average Price,2012 April,Gent's dry cut fee,Euro,11.945
National Average Price,2012 April,"Gent's wash, cut, and blow dry fee",Euro,17.702
National Average Price,2012 April,"Ladies' wash, cut and blow dry fee",Euro,36.121
National Average Price,2012 May,"White, self raising flour per 2 kg",Euro,2.132
National Average Price,2012 May,"Brown, wholemeal flour per 2 kg",Euro,2.485
National Average Price,2012 May,"Bread, white sliced pan, large (800g)",Euro,1.306
National Average Price,2012 May,"Bread, brown sliced pan, large (800g)",Euro,1.511
National Average Price,2012 May,Spaghetti per 500g,Euro,1.175
National Average Price,2012 May,Sirloin steak per kg,Euro,15.257
National Average Price,2012 May,Striploin steak per kg,Euro,22.212
National Average Price,2012 May,Roast beef - topside or rib per kg,Euro,11.671
National Average Price,2012 May,Sliced / diced beef pieces per kg,Euro,10.102
National Average Price,2012 May,Pork loin chops per kg,Euro,8.581
National Average Price,2012 May,Pork steak per kg,Euro,9.342
National Average Price,2012 May,Lamb - whole leg / half leg per kg,Euro,12.114
National Average Price,2012 May,Lamb loin chops per kg,Euro,19.723
National Average Price,2012 May,Lamb gigot chops per kg,Euro,13.161
National Average Price,2012 May,Uncooked chicken medium size 1.6kg,Euro,5.62
National Average Price,2012 May,Lamb's liver per kg,Euro,5.711
National Average Price,2012 May,Ham fillet per kg,Euro,5.884
National Average Price,2012 May,Cooked ham per kg,Euro,16.61
National Average Price,2012 May,Best back rashers per kg,Euro,10.772
National Average Price,2012 May,Pork sausages per kg,Euro,5.453
National Average Price,2012 May,Fresh fillet of whiting per kg,Euro,10.927
National Average Price,2012 May,Fresh fillet of cod per kg,Euro,16.406
National Average Price,2012 May,Fresh salmon per kg,Euro,14.355
National Average Price,2012 May,Fresh fillet of plaice per kg,Euro,17.686
National Average Price,2012 May,Fresh hake per kg,Euro,
National Average Price,2012 May,Smoked salmon per kg,Euro,26.737
National Average Price,2012 May,Full fat milk per 2 litre,Euro,1.773
National Average Price,2012 May,Low fat milk per 1 litre,Euro,1.052
National Average Price,2012 May,Irish cheddar per kg,Euro,11.369
National Average Price,2012 May,Large eggs per half dozen,Euro,1.885
National Average Price,2012 May,Medium eggs per half dozen,Euro,1.664
National Average Price,2012 May,Butter per lb,Euro,2.778
National Average Price,2012 May,Grapes per kg,Euro,5.793
National Average Price,2012 May,Bananas per kg,Euro,1.375
National Average Price,2012 May,Tomatoes per kg,Euro,2.878
National Average Price,2012 May,Onions per kg,Euro,1.205
National Average Price,2012 May,Broccoli per kg,Euro,2.854
National Average Price,2012 May,Carrots per kg,Euro,1.16
National Average Price,2012 May,Mushrooms per kg,Euro,4.445
National Average Price,2012 May,Tomatoes tinned per 400g,Euro,0.857
National Average Price,2012 May,Potatoes 2.5 kg,Euro,3.044
National Average Price,2012 May,Potatoes 7.5 kg,Euro,
National Average Price,2012 May,Potatoes 10 kg,Euro,4.938
National Average Price,2012 May,White granulated sugar per 1 kg,Euro,1.342
National Average Price,2012 May,Jam per lb,Euro,1.953
National Average Price,2012 May,Marmalade per lb,Euro,1.869
National Average Price,2012 May,Tea bags per 80,Euro,2.881
National Average Price,2012 May,Orange juice per litre,Euro,1.462
National Average Price,2012 May,Whiskey - take home (70cl bottle),Euro,21.914
National Average Price,2012 May,Brandy - take home (70cl bottle),Euro,25.726
National Average Price,2012 May,Vodka - take home (70cl bottle),Euro,17.698
National Average Price,2012 May,Cream liqueur - take home (70cl bottle),Euro,14.443
National Average Price,2012 May,Wine - take home (75cl bottle),Euro,9.135
National Average Price,2012 May,Cider - take home (50cl can),Euro,2.107
National Average Price,2012 May,Sherry - take home (75cl bottle),Euro,10.781
National Average Price,2012 May,Lager - take home (50cl can),Euro,1.763
National Average Price,2012 May,Stout - take home (50cl can),Euro,2.053
National Average Price,2012 May,Filtered cigarettes per 20 pk,Euro,9.026
National Average Price,2012 May,Stout - draught bar (1 pint),Euro,3.985
National Average Price,2012 May,Lager - draught bar (1 pint),Euro,4.328
National Average Price,2012 May,Lager - bar (33cl bottle),Euro,4.381
National Average Price,2012 May,Cider - draught bar (1 pint),Euro,4.483
National Average Price,2012 May,Ale - draught bar (1 pint),Euro,4.028
